City,2019,2020,2021
"San Luis Obispo-Paso Robles, CA",59806,63652.0,66617.0
"Santa Cruz-Watsonville, CA",70129,77181.0,85554.0
"Santa Fe, NM",61879,65042.0,69528.0
"Santa Maria-Santa Barbara, CA",63586,69457.0,73995.0
"Santa Rosa-Petaluma, CA",66715,73526.0,81006.0
"Savannah, GA",47046,50432.0,53570.0
"Scranton--Wilkes-Barre, PA",46092,50190.0,53256.0
"Seattle-Tacoma-Bellevue, WA",77788,82342.0,89274.0
"Sebastian-Vero Beach, FL",86856,89294.0,95109.0
"Sebring-Avon Park, FL",36309,39163.0,41568.0
"Sheboygan, WI",52696,55282.0,58425.0
"Sherman-Denison, TX",45771,48260.0,52055.0
"Shreveport-Bossier City, LA",47762,51262.0,55198.0
"Sierra Vista-Douglas, AZ",41557,46909.0,49096.0
"Sioux City, IA-NE-SD",51981,55534.0,59993.0
"Sioux Falls, SD",63690,67689.0,71570.0
"South Bend-Mishawaka, IN-MI",47524,50681.0,56109.0
"Spartanburg, SC",45010,47641.0,50596.0
"Spokane-Spokane Valley, WA",45651,49153.0,53278.0
"Springfield, IL",49276,52904.0,57126.0
"Springfield, MA",53846,58312.0,61523.0
"Springfield, MO",43345,45642.0,48664.0
"Springfield, OH",41168,44990.0,47929.0
"State College, PA",49211,52699.0,54994.0
"Staunton, VA",45236,48204.0,51965.0
"Stockton, CA",45547,51766.0,57783.0
"Sumter, SC",39354,42467.0,46550.0
"Syracuse, NY",50461,55027.0,58137.0
"Tallahassee, FL",44955,47882.0,52279.0
"Tampa-St. Petersburg-Clearwater, FL",50650,53847.0,58315.0
"Terre Haute, IN",38520,42029.0,45537.0
"Texarkana, TX-AR",39088,42054.0,45058.0
"The Villages, FL",59209,60900.0,64282.0
"Toledo, OH",48157,51432.0,54423.0
"Topeka, KS",47024,50582.0,53655.0
"Trenton-Princeton, NJ",68721,71990.0,77911.0
"Tucson, AZ",45996,50131.0,52942.0
"Tulsa, OK",56341,56708.0,59941.0
"Tuscaloosa, AL",37609,40238.0,43362.0
"Twin Falls, ID",39910,43052.0,44937.0
"Tyler, TX",56639,55832.0,60284.0
"Urban Honolulu, HI",57560,60114.0,63912.0
"Utica-Rome, NY",45629,49489.0,52919.0
"Valdosta, GA",37050,40091.0,42585.0
"Vallejo, CA",51819,58406.0,65448.0
"Victoria, TX",53029,54067.0,58294.0
"Vineland-Bridgeton, NJ",40014,43844.0,47559.0
"Virginia Beach-Norfolk-Newport News, VA-NC",49553,52895.0,56716.0
"Visalia, CA",40061,45556.0,47986.0
"Waco, TX",42235,45477.0,49151.0
"Walla Walla, WA",46483,50520.0,53845.0
"Warner Robins, GA",42458,44908.0,48160.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",72992,76110.0,80822.0
"Waterloo-Cedar Falls, IA",46856,50228.0,53584.0
"Watertown-Fort Drum, NY",45905,50368.0,53130.0
"Wausau-Weston, WI",50993,54039.0,56947.0
"Weirton-Steubenville, WV-OH",41769,45217.0,48558.0
"Wenatchee, WA",49820,54443.0,58009.0
"Wheeling, WV-OH",47503,47257.0,50716.0
"Wichita, KS",51801,53827.0,56343.0
"Wichita Falls, TX",45697,47843.0,50905.0
"Williamsport, PA",44394,48075.0,50464.0
"Wilmington, NC",49275,52486.0,55750.0
"Winchester, VA-WV",50120,53040.0,56544.0
"Winston-Salem, NC",46218,49044.0,53154.0
"Worcester, MA-CT",55671,60364.0,64540.0
"Yakima, WA",43208,47315.0,50872.0
"York-Hanover, PA",51295,54808.0,57870.0
"Youngstown-Warren-Boardman, OH-PA",42450,46009.0,48904.0
"Yuba City, CA",42979,47947.0,51174.0
"Yuma, AZ",37624,42732.0,44299.0
